a_sku_id,b_url,c_price,c_price1,c_price2_x,c_price3_x,c_price4_x,c_price5_x,c_price6_x,c_price7_x,c_price8_x,c_price9_x,c_price10_x,c_price2_y,c_price3_y,c_price4_y,c_price5_y,c_price6_y,c_price7_y,c_price8_y,c_price9_y,c_price10_y,c_price2,d2018-11-02 10:28:55
749107,http://www.banggo.com/goods/749107.shtml,92.9,92.9,92.9,92.9,92.9,92.9,92.9,89.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
749108,http://www.banggo.com/goods/749108.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,169.0,,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0
749113,http://www.banggo.com/goods/749113.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,139.0,,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
749114,http://www.banggo.com/goods/749114.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,91.9,96.9,169.0
749116,http://www.banggo.com/goods/749116.shtml,79.9,79.9,79.9,79.9,79.9,79.9,79.9,76.9,139.0,,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
749117,http://www.banggo.com/goods/749117.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,139.0,,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0
749118,http://www.banggo.com/goods/749118.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,91.9,96.9,169.0
749119,http://www.banggo.com/goods/749119.shtml,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,91.9,91.9,169.0
749122,http://www.banggo.com/goods/749122.shtml,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,78.9,139.0
749124,http://www.banggo.com/goods/749124.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,129.9,239.0
749125,http://www.banggo.com/goods/749125.shtml,168.9,168.9,168.9,168.9,168.9,168.9,168.9,168.9,169.0,,109.85,109.85,169.0,11.830000000000002,11.830000000000002,13.52,13.52,169.0,169.0,169.0,169.0,169.0
749126,http://www.banggo.com/goods/749126.shtml,198.9,198.9,198.9,198.9,198.9,198.9,198.9,198.9,198.9,,129.285,129.285,198.9,13.923000000000002,13.923000000000002,15.912,15.912,198.9,198.9,188.9,108.9,199.0
749127,http://www.banggo.com/goods/749127.shtml,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,136.9,129.9,136.9,239.0
749130,http://www.banggo.com/goods/749130.shtml,198.9,198.9,198.9,198.9,198.9,198.9,198.9,198.9,198.9,,129.285,129.285,198.9,13.923000000000002,13.923000000000002,15.912,15.912,198.9,198.9,188.9,198.9,199.0
